X,Y,F
-1.9370078740157481,-0.26771653543307083,0.4765948364586905
-1.9370078740157481,-0.2362204724409449,0.4280942063853431
-1.9370078740157481,-0.20472440944881898,0.37699554175147854
-1.9370078740157481,-0.17322834645669305,0.3234940764213907
-1.9370078740157481,-0.1417322834645669,0.2678410319424095
-1.9370078740157481,-0.11023622047244097,0.21034130763418854
-1.9370078740157481,-0.07874015748031504,0.15134854207167717
-1.9370078740157481,-0.04724409448818889,0.09125758021886478
-1.9370078740157481,-0.015748031496062964,0.030494603208368384
-1.9370078740157481,0.015748031496062964,-0.030494603208368384
-1.9370078740157481,0.04724409448818889,-0.09125758021886478
-1.9370078740157481,0.07874015748031482,-0.15134854207167672
-1.9370078740157481,0.11023622047244075,-0.21034130763418812
-1.9370078740157481,0.14173228346456668,-0.26784103194240905
-1.9370078740157481,0.17322834645669305,-0.3234940764213907
-1.9370078740157481,0.20472440944881898,-0.37699554175147854
-1.9370078740157481,0.2362204724409449,-0.4280942063853431
-1.9370078740157481,0.26771653543307083,-0.4765948364586905
-1.9370078740157481,0.29921259842519676,-0.522358032225697
-1.9370078740157481,0.3307086614173227,-0.5652979323019897
-1.9370078740157481,0.3622047244094486,-0.6053781993093728
-1.9370078740157481,0.393700787401575,-0.6426067576067227
-1.9370078740157481,0.4251968503937009,-0.677029751754438
-1.9370078740157481,0.45669291338582685,-0.708725154096571
-1.9370078740157481,0.4881889763779528,-0.7377963842565738
-1.9370078740157481,0.5196850393700787,-0.7643662249711739
-1.9370078740157481,0.5511811023622046,-0.7885712381083574
-1.9370078740157481,0.5826771653543306,-0.8105568097382676
-1.9370078740157481,0.6141732283464565,-0.8304728886622813
-1.9370078740157481,0.6456692913385824,-0.8484704312035155
-1.9370078740157481,0.6771653543307088,-0.8646985266775146
-1.9370078740157481,0.7086614173228347,-0.8793021517933018
-1.9370078740157481,0.7401574803149606,-0.8924204865013043
-1.9370078740157481,0.7716535433070866,-0.904185716405401
-1.9370078740157481,0.8031496062992125,-0.9147222456966357
-1.9370078740157481,0.8346456692913384,-0.9241462477571786
-1.9370078740157481,0.8661417322834644,-0.9325654865430194
-1.9370078740157481,0.8976377952755907,-0.9400793493368087
-1.9370078740157481,0.9291338582677167,-0.94677903954211
-1.9370078740157481,0.9606299212598426,-0.9527478862194482
-1.9370078740157481,0.9921259842519685,-0.9580617346224282
-1.9370078740157481,1.0236220472440944,-0.962789388833774
-1.9370078740157481,1.0551181102362204,-0.9669930836099938
-1.9370078740157481,1.0866141732283463,-0.9707289676926084
-1.9370078740157481,1.1181102362204722,-0.9740475851649549
-1.9370078740157481,1.1496062992125982,-0.9769943449928872
-1.9370078740157481,1.1811023622047245,-0.9796099717695109
-1.9370078740157481,1.2125984251968505,-0.9819309329789278
-1.9370078740157481,1.2440944881889764,-0.9839898398909209
-1.9370078740157481,1.2755905511811023,-0.9858158205806962
-1.9370078740157481,1.3070866141732282,-0.9874348646098339
-1.9370078740157481,1.3385826771653542,-0.9888701396717274
-1.9370078740157481,1.37007874015748,-0.9901422810526732
-1.9370078740157481,1.4015748031496065,-0.9912696551352246
-1.9370078740157481,1.4330708661417324,-0.9922685984120649
-1.9370078740157481,1.4645669291338583,-0.9931536336180499
-1.9370078740157481,1.4960629921259843,-0.9939376646506125
-1.9370078740157481,1.5275590551181102,-0.9946321519546951
-1.9370078740157481,1.5590551181102361,-0.9952472700137183
-1.9370078740157481,1.590551181102362,-0.9957920485252727
-1.9370078740157481,1.622047244094488,-0.9962744987588149
-1.9370078740157481,1.653543307086614,-0.996701726499945
-1.9370078740157481,1.6850393700787403,-0.9970800328873282
-1.9370078740157481,1.7165354330708662,-0.9974150043479939
-1.9370078740157481,1.7480314960629921,-0.9977115927375342
-1.9370078740157481,1.779527559055118,-0.9979741866956219
-1.9370078740157481,1.811023622047244,-0.998206675135674
-1.9370078740157481,1.84251968503937,-0.9984125037012161
-1.9370078740157481,1.8740157480314958,-0.9985947249410577
-1.9370078740157481,1.9055118110236222,-0.9987560428809471
-1.9370078740157481,1.9370078740157481,-0.9988988526009348
-1.9370078740157481,1.968503937007874,-0.9990252753650882
-1.9370078740157481,2.0,-0.999137189793222
-1.905511811023622,-2.0,0.9990214018625088
-1.905511811023622,-1.968503937007874,0.9988966669578957
-1.905511811023622,-1.9370078740157481,0.9987560428809471
-1.905511811023622,-1.905511811023622,0.9985975082952215
-1.905511811023622,-1.874015748031496,0.9984187854476843
-1.905511811023622,-1.8425196850393701,0.9982173078381078
-1.905511811023622,-1.811023622047244,0.9979901838655103
-1.905511811023622,-1.779527559055118,0.9977341559655998
-1.905511811023622,-1.7480314960629921,0.9974455546984633
-1.905511811023622,-1.7165354330708662,0.9971202471859696
-1.905511811023622,-1.6850393700787403,0.9967535792334064
-1.905511811023622,-1.6535433070866141,0.9963403103997366
-1.905511811023622,-1.6220472440944882,0.9958745412056778
-1.905511811023622,-1.5905511811023623,0.9953496315889585
-1.905511811023622,-1.5590551181102361,0.9947581096322684
-1.905511811023622,-1.5275590551181102,0.9940915695026826
-1.905511811023622,-1.4960629921259843,0.9933405574533317
-1.905511811023622,-1.4645669291338583,0.9924944446511306
-1.905511811023622,-1.4330708661417324,0.9915412855116976
-1.905511811023622,-1.4015748031496063,0.990467660148563
-1.905511811023622,-1.3700787401574803,0.9892584994842085
-1.905511811023622,-1.3385826771653544,0.9878968915330506
-1.905511811023622,-1.3070866141732282,0.986363867361091
-1.905511811023622,-1.2755905511811023,0.9846381652663194
-1.905511811023622,-1.2440944881889764,0.982695971824169
-1.905511811023622,-1.2125984251968505,0.9805106386236034
-1.905511811023622,-1.1811023622047245,0.9780523738067998
-1.905511811023622,-1.1496062992125984,0.9752879079496515
-1.905511811023622,-1.1181102362204725,0.9721801344186672
-1.905511811023622,-1.0866141732283465,0.9686877251568062
-1.905511811023622,-1.0551181102362204,0.964764723938644
-1.905511811023622,-1.0236220472440944,0.9603601205543064
-1.905511811023622,-0.9921259842519685,0.9554174111996444
-1.905511811023622,-0.9606299212598426,0.9498741526410094
-1.905511811023622,-0.9291338582677167,0.9436615205637476
