X_min,X_max,Y_min,Y_max,Depth
1.578125,1.59375,1.578125,1.59375,8
1.5703125,1.578125,1.5859375,1.59375,9
1.5625,1.5703125,1.5859375,1.59375,9
1.5625,1.5703125,1.578125,1.5859375,9
1.5703125,1.578125,1.578125,1.5859375,9
1.5625,1.578125,1.5625,1.578125,8
1.5859375,1.59375,1.5703125,1.578125,9
1.578125,1.5859375,1.5703125,1.578125,9
1.578125,1.5859375,1.5625,1.5703125,9
1.5859375,1.59375,1.5625,1.5703125,9
1.609375,1.625,1.578125,1.59375,8
1.6015625,1.609375,1.5859375,1.59375,9
1.59375,1.6015625,1.5859375,1.59375,9
1.59375,1.6015625,1.578125,1.5859375,9
1.6015625,1.609375,1.578125,1.5859375,9
1.59375,1.609375,1.5625,1.578125,8
1.609375,1.625,1.5625,1.578125,8
1.546875,1.5625,1.609375,1.625,8
1.53125,1.546875,1.609375,1.625,8
1.53125,1.546875,1.59375,1.609375,8
1.546875,1.5625,1.59375,1.609375,8
1.5,1.53125,1.59375,1.625,7
1.515625,1.53125,1.578125,1.59375,8
1.5,1.515625,1.578125,1.59375,8
1.5,1.515625,1.5625,1.578125,8
1.515625,1.53125,1.5625,1.578125,8
1.546875,1.5625,1.578125,1.59375,8
1.53125,1.546875,1.578125,1.59375,8
1.53125,1.546875,1.5625,1.578125,8
1.5546875,1.5625,1.5703125,1.578125,9
1.546875,1.5546875,1.5703125,1.578125,9
1.546875,1.5546875,1.5625,1.5703125,9
1.5546875,1.5625,1.5625,1.5703125,9
1.546875,1.5625,1.546875,1.5625,8
1.5390625,1.546875,1.5546875,1.5625,9
1.53125,1.5390625,1.5546875,1.5625,9
1.53125,1.5390625,1.546875,1.5546875,9
1.5390625,1.546875,1.546875,1.5546875,9
1.53125,1.546875,1.53125,1.546875,8
1.5546875,1.5625,1.5390625,1.546875,9
1.546875,1.5546875,1.5390625,1.546875,9
1.546875,1.5546875,1.53125,1.5390625,9
1.5546875,1.5625,1.53125,1.5390625,9
1.515625,1.53125,1.546875,1.5625,8
1.5,1.515625,1.546875,1.5625,8
1.5078125,1.515625,1.5390625,1.546875,9
1.5,1.5078125,1.5390625,1.546875,9
1.5,1.5078125,1.53125,1.5390625,9
1.5078125,1.515625,1.53125,1.5390625,9
1.5234375,1.53125,1.5390625,1.546875,9
1.515625,1.5234375,1.5390625,1.546875,9
1.515625,1.5234375,1.53125,1.5390625,9
1.5234375,1.53125,1.53125,1.5390625,9
